Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
6.30957344480194e+04	(4.55961321437550e+01dB,-1.79982742371039e+02°)	(6.58030509279415e+01dB,1.55648945657652e+02°)	(7.41599149284861e+01dB,-1.79999999999999e+02°)
6.68343917568615e+04	(4.55961313233256e+01dB,1.79954940397520e+02°)	(6.57124687620015e+01dB,1.54426657784348e+02°)	(7.41599149284600e+01dB,1.80000000000000e+02°)
7.07945784384139e+04	(4.55961203439059e+01dB,1.79892473895507e+02°)	(6.56130420719585e+01dB,1.53159063540940e+02°)	(7.41599149285023e+01dB,-1.79999999999999e+02°)
7.49894209332457e+04	(4.55960990598837e+01dB,1.79829651218676e+02°)	(6.55041361611925e+01dB,1.51847525004115e+02°)	(7.41599149284401e+01dB,1.80000000000000e+02°)
7.94328234724282e+04	(4.55960671889871e+01dB,1.79766264289115e+02°)	(6.53851152645511e+01dB,1.50493847162689e+02°)	(7.41599149284883e+01dB,-1.80000000000000e+02°)
8.41395141645196e+04	(4.55960243085473e+01dB,1.79702103170161e+02°)	(6.52553513464591e+01dB,1.49100300234160e+02°)	(7.41599149284377e+01dB,-1.80000000000000e+02°)
8.91250938133746e+04	(4.55959698499029e+01dB,1.79636955375499e+02°)	(6.51142338845894e+01dB,1.47669633360301e+02°)	(7.41599149284397e+01dB,1.79999999999999e+02°)
9.44060876285924e+04	(4.55959030908716e+01dB,1.79570605170294e+02°)	(6.49611804217074e+01dB,1.46205077878425e+02°)	(7.41599149284991e+01dB,-1.79999999999997e+02°)
1.00000000000000e+05	(4.55958231461919e+01dB,1.79502832862218e+02°)	(6.47956475902035e+01dB,1.44710338621065e+02°)	(7.41599149284302e+01dB,1.79999999999997e+02°)
1.05925372517729e+05	(4.55957289558069e+01dB,1.79433414080193e+02°)	(6.46171422416712e+01dB,1.43189572104373e+02°)	(7.41599149284694e+01dB,1.80000000000000e+02°)
1.12201845430196e+05	(4.55956192708391e+01dB,1.79362119038663e+02°)	(6.44252322568107e+01dB,1.41647351030498e+02°)	(7.41599149284924e+01dB,1.80000000000000e+02°)
1.18850222743702e+05	(4.55954926370696e+01dB,1.79288711785211e+02°)	(6.42195565771559e+01dB,1.40088615225132e+02°)	(7.41599149284948e+01dB,-1.79999999999998e+02°)
1.25892541179417e+05	(4.55953473757080e+01dB,1.79212949429285e+02°)	(6.39998339952868e+01dB,1.38518609900548e+02°)	(7.41599149284937e+01dB,-1.79999999999997e+02°)
1.33352143216333e+05	(4.55951815611982e+01dB,1.79134581349806e+02°)	(6.37658702702094e+01dB,1.36942812927004e+02°)	(7.41599149284595e+01dB,1.79999999999998e+02°)
